English,French
Zero,Zero
One,Un
Two,Deux
Three,Trois
Four,Quatre
Five,Cinq
Six,Six
Seven,Sept
Eight,Huit
Nine,Neuf
Ten,Dix
Eleven,Onze
Twelve,Douze
Thirteen,Treize
Fourteen,Quatorze
Fifteen,Quinze
Sixteen,Seize
Seventeen,Dix-sept
Eighteen,Dix-huit
Nineteen,Dix-neuf
Twenty,Vingt
